언어명,관광지명,구분
일본어,清渓川（청계천）,도시공원
일본어,昌慶宮（창경궁）,역사유적지
일본어,南山コル韓屋村（남산골한옥마을）,역사유적지
일본어,江南（강남）,기타체험
일본어,弘大（홍대）,체험관광지
일본어,世宗ホテル（세종호텔）,숙박시설
일본어,芸術の殿堂（예술의전당）,공연시설
일본어,三元ガーデン本店（삼원가든 본점）,한식
일본어,ロッテワールドタワー ソウルスカイ（롯데월드타워 서울스카이）,건축/조형물
일본어,明洞餃子（명동교자）,한식
일본어,ロッテ百貨店（本店）롯데백화점（본점）,쇼핑
일본어,新沙洞カロスキル（신사동 가로수길）,체험관광지
일본어,教保文庫（（주）교보문고）,기타문화관광지
일본어,汝矣島漢江公園（여의도한강공원）,휴양관광지
일본어,曹渓寺（ソウル）（조계사（서울））,종교성지
일본어,益善洞（익선동）,도시.지역문화관광
일본어,サムジキル（쌈지길）,도시.지역문화관광
일본어,宗廟 [ユネスコ世界遺産（文化遺産）]（종묘 [유네스코 세계문화유산]）,역사관광지
일본어,筆洞麺屋（필동면옥）,한식
일본어,ロッテワールドタワー＆ロッテワールドモール（롯데월드타워&롯데월드몰）,랜드마크관광
일본어,黄金牧場 明洞聖堂 ( 황금목장 명동성당 ),음식점
일본어,ソウルワールドカップ競技場（서울월드컵경기장）,레저스포츠시설
일본어,ソウルの森（서울숲）,휴양관광지
일본어,サムギョプサル專門店 大統領（삼겹살전문점대통령）,한식
일본어,楽古斎ソウル北村韓屋ホテル[韓国観光品質認証]<br>(락고재 서울 북촌 한옥호텔[한국관광 품질인증]/Korea Quality),호텔
일본어,駱山公園（낙산공원）,도시공원
일본어,ザ・リバーサイドホテル（더리버사이드 호텔）,호텔
일본어,奨忠体育館（장충체육관）,레저스포츠시설
일본어,ミリオレ（東大門店）（밀리오레（동대문점））,전문매장/상가
일본어,漢江（한강）,자연관광지
